" ""LEA_STATE""",LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,NCESSCH,SCH_MATHCLASSES_CALC,SCH_MATHCERT_CALC,Total_Calc_enroll_students
AL,ALABAMA,0100005,Albertville City,00871,Albertville High School,010000500871,010000500871,4,4,44
AL,ALABAMA,0100006,Marshall County,00872,Asbury High School,010000600872,010000600872,1,1,18
AL,ALABAMA,0100006,Marshall County,00878,Douglas High School,010000600878,010000600878,1,1,18
AL,ALABAMA,0100006,Marshall County,00883,Kate D Smith DAR High School,010000600883,010000600883,1,1,22
AL,ALABAMA,0100006,Marshall County,01585,Brindlee Mountain High School,010000601585,010000601585,1,1,20
AL,ALABAMA,0100007,Hoover City,00251,Hoover High School,010000700251,010000700251,10,10,224
AL,ALABAMA,0100007,Hoover City,01456,Spain Park High School,010000701456,010000701456,7,7,144
AL,ALABAMA,0100008,Madison City,00831,Bob Jones High School,010000800831,010000800831,7,7,186
AL,ALABAMA,0100008,Madison City,02198,James Clemens High School,010000802198,010000802198,5,5,106
AL,ALABAMA,0100011,Leeds City,02096,Leeds High School,010001102096,010001102096,1,1,10
AL,ALABAMA,0100013,Trussville City,01682,HewittTrussville High School,010001301682,010001301682,3,3,60
AL,ALABAMA,0100018,Alabama School of Fine Arts,02104,Alabama School of Fine Arts,010001802104,010001802104,3,2,16
AL,ALABAMA,0100100,Arab City,00028,Arab High School,010010000028,010010000028,3,3,38
AL,ALABAMA,0100120,Athens City,01472,Athens High School,010012001472,010012001472,3,3,32
AL,ALABAMA,0100120,Athens City,02417,Athens Renaissance School,010012002417,010012002417,1,1,0
AL,ALABAMA,0100180,Attalla City,00033,Etowah High School,010018000033,010018000033,2,2,18
AL,ALABAMA,0100189,Satsuma City,02195,Satsuma High School,010018902195,010018902195,1,1,4
AL,ALABAMA,0100190,Alabaster City,01183,Thompson High School,010019001183,010019001183,4,4,92
AL,ALABAMA,0100194,Pelham City,02399,Pelham High School,010019402399,010019402399,2,2,28
AL,ALABAMA,0100210,Auburn City,00036,Auburn High School,010021000036,010021000036,7,7,128
AL,ALABAMA,0100240,Autauga County,00046,Marbury High School,010024000046,010024000046,1,1,8
AL,ALABAMA,0100240,Autauga County,00048,Prattville High School,010024000048,010024000048,3,3,20
AL,ALABAMA,0100270,Baldwin County,00024,Robertsdale High School,010027000024,010027000024,1,1,16
AL,ALABAMA,0100270,Baldwin County,00100,Fairhope High School,010027000100,010027000100,3,2,26
AL,ALABAMA,0100270,Baldwin County,00641,Gulf Shores High School,010027000641,010027000641,1,1,12
AL,ALABAMA,0100270,Baldwin County,01759,Daphne High School,010027001759,010027001759,3,2,34
AL,ALABAMA,0100270,Baldwin County,01784,Foley High School,010027001784,010027001784,4,2,46
AL,ALABAMA,0100270,Baldwin County,01810,Baldwin County High School,010027001810,010027001810,3,3,26
AL,ALABAMA,0100270,Baldwin County,02073,Spanish Fort High School,010027002073,010027002073,1,1,26
AL,ALABAMA,0100270,Baldwin County,02443,Baldwin County Virtual School,010027002443,010027002443,1,1,2
AL,ALABAMA,0100330,Bessemer City,00087,Bessemer City High School,010033000087,010033000087,1,1,10
AL,ALABAMA,0100360,Bibb County,00092,Bibb County High School,010036000092,010036000092,1,1,6
AL,ALABAMA,0100390,Birmingham City,00141,Huffman High SchoolMagnet,010039000141,010039000141,11,11,10
AL,ALABAMA,0100390,Birmingham City,00164,JacksonOlin High School,010039000164,010039000164,3,3,12
AL,ALABAMA,0100390,Birmingham City,00176,Ramsay High School,010039000176,010039000176,1,1,14
AL,ALABAMA,0100390,Birmingham City,00192,Wenonah High School,010039000192,010039000192,1,1,4
AL,ALABAMA,0100390,Birmingham City,01468,George Washington Carver High School,010039001468,010039001468,1,0,16
AL,ALABAMA,0100420,Blount County,00208,Hayden High School,010042000208,010042000208,1,1,4
AL,ALABAMA,0100510,Butler County,00226,Greenville High School,010051000226,010051000226,2,2,12
AL,ALABAMA,0100510,Butler County,00229,McKenzie High School,010051000229,010051000229,2,2,0
AL,ALABAMA,0100540,Calhoun County,00250,White Plains High School,010054000250,010054000250,4,4,6
AL,ALABAMA,0100630,Cherokee County,00278,Cherokee County High School,010063000278,010063000278,2,2,18
AL,ALABAMA,0100630,Cherokee County,00283,Spring Garden High School,010063000283,010063000283,1,1,6
AL,ALABAMA,0100660,Chilton County,01491,Chilton County High School,010066001491,010066001491,1,1,20
AL,ALABAMA,0100690,Choctaw County Board of Education,00297,Southern Choctaw High School,010069000297,010069000297,1,1,12
AL,ALABAMA,0100720,Clarke County,00298,Clarke County High School,010072000298,010072000298,1,1,6
AL,ALABAMA,0100720,Clarke County,01493,Jackson High School,010072001493,010072001493,3,3,10
AL,ALABAMA,0100780,Cleburne County,00318,Cleburne County High School,010078000318,010078000318,1,1,16
AL,ALABAMA,0100810,Coffee County,00327,Zion Chapel High School,010081000327,010081000327,1,1,6
AL,ALABAMA,0100840,Colbert County,00333,Cherokee High School,010084000333,010084000333,1,1,8
AL,ALABAMA,0100930,Covington County,00363,Straughn High School,010093000363,010093000363,1,1,2
AL,ALABAMA,0100990,Cullman City,00370,Cullman High School,010099000370,010099000370,1,1,24
AL,ALABAMA,0101020,Cullman County,00374,Cold Springs High School,010102000374,010102000374,1,1,0
AL,ALABAMA,0101020,Cullman County,00377,Fairview High School,010102000377,010102000377,3,0,36
AL,ALABAMA,0101020,Cullman County,00379,Good Hope High School,010102000379,010102000379,2,2,20
AL,ALABAMA,0101020,Cullman County,00385,Vinemont High School,010102000385,010102000385,1,1,8
AL,ALABAMA,0101050,Dale County,00390,George W Long High School,010105000390,010105000390,2,1,12
AL,ALABAMA,0101080,Daleville City,00394,Daleville High School,010108000394,010108000394,1,1,0
AL,ALABAMA,0101140,DeKalb County,01860,Crossville High School,010114001860,010114001860,1,1,14
AL,ALABAMA,0101170,Decatur City,00426,Austin High School,010117000426,010117000426,2,2,8
AL,ALABAMA,0101170,Decatur City,00429,Decatur High School,010117000429,010117000429,1,1,16
AL,ALABAMA,0101200,Demopolis City,00148,Demopolis High School,010120000148,010120000148,2,1,12
AL,ALABAMA,0101230,Dothan City,00445,Dothan High School,010123000445,010123000445,1,1,16
AL,ALABAMA,0101290,Elmore County,00463,Elmore County High School,010129000463,010129000463,1,1,6
AL,ALABAMA,0101290,Elmore County,00465,Holtville High School,010129000465,010129000465,1,1,10
AL,ALABAMA,0101290,Elmore County,00468,Stanhope Elmore High School,010129000468,010129000468,3,3,48
AL,ALABAMA,0101290,Elmore County,00471,Wetumpka High School,010129000471,010129000471,1,1,22
AL,ALABAMA,0101290,Elmore County,99998,ELMORE COUNTY ALTERNATIVE PROGRAMs,010129099998,010129099998,1,1,2
AL,ALABAMA,0101320,Enterprise City,00476,Enterprise High School,010132000476,010132000476,4,4,78
AL,ALABAMA,0101350,Escambia County,00487,Flomaton High School,010135000487,010135000487,1,1,2
AL,ALABAMA,0101380,Etowah County,00496,Gaston High School,010138000496,010138000496,1,1,6
AL,ALABAMA,0101380,Etowah County,00505,Sardis High School,010138000505,010138000505,1,1,22
AL,ALABAMA,0101380,Etowah County,00506,Southside High School,010138000506,010138000506,1,1,28
AL,ALABAMA,0101410,Eufaula City,00511,Eufaula High School,010141000511,010141000511,1,1,4
AL,ALABAMA,0101530,Florence City,00528,Florence High School,010153000528,010153000528,2,2,32
AL,ALABAMA,0101560,Fort Payne City,00538,Fort Payne High School,010156000538,010156000538,1,1,10
AL,ALABAMA,0101590,Franklin County,00544,Phil Campbell High School,010159000544,010159000544,1,1,12
AL,ALABAMA,0101590,Franklin County,00548,Vina High School,010159000548,010159000548,1,1,8
AL,ALABAMA,0101620,Gadsden City,01824,Gadsden City High School,010162001824,010162001824,1,1,20
AL,ALABAMA,0101640,Geneva City,00567,Geneva High School,010164000567,010164000567,1,1,6
AL,ALABAMA,0101680,Greene County,00576,Greene County High School,010168000576,010168000576,1,1,6
AL,ALABAMA,0101690,Guntersville City,00582,Guntersville High School,010169000582,010169000582,3,3,62
AL,ALABAMA,0101710,Hale County,00588,Hale County High School,010171000588,010171000588,1,1,4
AL,ALABAMA,0101720,Haleyville City,00594,Haleyville High School,010172000594,010172000594,1,1,28
AL,ALABAMA,0101730,Hartselle City,00599,Hartselle High School,010173000599,010173000599,2,2,62
AL,ALABAMA,0101760,Homewood City,00608,Homewood High School,010176000608,010176000608,6,6,76
AL,ALABAMA,0101770,Houston County,00611,Ashford High School,010177000611,010177000611,1,1,8
AL,ALABAMA,0101770,Houston County,00615,Rehobeth High School,010177000615,010177000615,2,2,8
AL,ALABAMA,0101770,Houston County,00617,Wicksburg High School,010177000617,010177000617,1,1,2
AL,ALABAMA,0101800,Huntsville City,00629,Virgil Grissom High School,010180000629,010180000629,2,2,70
AL,ALABAMA,0101800,Huntsville City,00631,Huntsville High School,010180000631,010180000631,5,5,112
AL,ALABAMA,0101800,Huntsville City,00636,Lee High School,010180000636,010180000636,1,1,0
AL,ALABAMA,0101800,Huntsville City,01374,New Century Technology High School,010180001374,010180001374,5,5,36
AL,ALABAMA,0101800,Huntsville City,02419,Jemison High School,010180002419,010180002419,1,1,2
AL,ALABAMA,0101830,Jackson County,00667,Section High School,010183000667,010183000667,1,1,6
AL,ALABAMA,0101860,Jacksonville City,00673,Jacksonville High School,010186000673,010186000673,1,1,18
AL,ALABAMA,0101890,Jasper City Board Of Education,00678,Jasper High School,010189000678,010189000678,1,1,10
AL,ALABAMA,0101920,Jefferson County,00469,ClayChalkville High School,010192000469,010192000469,2,2,32
AL,ALABAMA,0101920,Jefferson County,00698,Corner High School,010192000698,010192000698,1,1,12
AL,ALABAMA,0101920,Jefferson County,00702,Center Point High School,010192000702,010192000702,1,1,12
AL,ALABAMA,0101920,Jefferson County,00706,Gardendale High School,010192000706,010192000706,2,2,40
AL,ALABAMA,0101920,Jefferson County,00717,Hueytown High School,010192000717,010192000717,3,3,162
AL,ALABAMA,0101920,Jefferson County,00725,McAdory High School,010192000725,010192000725,2,2,38
AL,ALABAMA,0101920,Jefferson County,00728,Mortimer Jordan High School,010192000728,010192000728,1,1,10
AL,ALABAMA,0101920,Jefferson County,00732,Oak Grove High School,010192000732,010192000732,1,1,24
AL,ALABAMA,0101920,Jefferson County,00734,Pinson Valley High School,010192000734,010192000734,1,1,18
AL,ALABAMA,0101920,Jefferson County,00737,Pleasant Grove High School,010192000737,010192000737,1,1,4
AL,ALABAMA,0101920,Jefferson County,00744,Shades Valley High School,010192000744,010192000744,1,1,22
AL,ALABAMA,0102010,Lauderdale County,00764,Brooks High School,010201000764,010201000764,1,1,12
AL,ALABAMA,0102010,Lauderdale County,00767,Lauderdale County High School,010201000767,010201000767,1,1,14
AL,ALABAMA,0102010,Lauderdale County,00770,Lexington School,010201000770,010201000770,1,1,10
AL,ALABAMA,0102010,Lauderdale County,00772,Rogers High School,010201000772,010201000772,1,1,2
AL,ALABAMA,0102010,Lauderdale County,00774,Waterloo High School,010201000774,010201000774,1,1,0
AL,ALABAMA,0102010,Lauderdale County,00775,Wilson High School,010201000775,010201000775,1,1,16
AL,ALABAMA,0102040,Lawrence County,00780,Hatton High School,010204000780,010204000780,16,1,14
AL,ALABAMA,0102070,Lee County,00790,Beauregard High School,010207000790,010207000790,1,1,14
AL,ALABAMA,0102070,Lee County,00791,Beulah High School,010207000791,010207000791,1,1,4
AL,ALABAMA,0102070,Lee County,00792,Loachapoka High School,010207000792,010207000792,2,2,8
AL,ALABAMA,0102070,Lee County,00795,Smiths Station High School,010207000795,010207000795,2,2,12
AL,ALABAMA,0102100,Limestone County,00797,Ardmore High School,010210000797,010210000797,3,3,16
AL,ALABAMA,0102100,Limestone County,00810,West Limestone High School,010210000810,010210000810,1,1,16
AL,ALABAMA,0102130,Linden City,00813,Linden High School,010213000813,010213000813,9,1,10
AL,ALABAMA,0102190,Macon County,01811,Booker T Washington High,010219001811,010219001811,1,1,6
AL,ALABAMA,0102220,Madison County,00556,Madison County High School,010222000556,010222000556,1,1,10
AL,ALABAMA,0102220,Madison County,00836,Hazel Green High School,010222000836,010222000836,3,3,56
AL,ALABAMA,0102220,Madison County,00843,New Hope High School,010222000843,010222000843,1,1,42
AL,ALABAMA,0102220,Madison County,00848,Sparkman High School,010222000848,010222000848,5,5,242
AL,ALABAMA,0102220,Madison County,01683,Buckhorn High School,010222001683,010222001683,5,5,134
AL,ALABAMA,0102250,Marengo County,00857,Sweet Water High School,010225000857,010225000857,1,1,10
AL,ALABAMA,0102310,Marion County,00866,Hackleburg High School,010231000866,010231000866,1,1,16
AL,ALABAMA,0102310,Marion County,00868,Hamilton High School,010231000868,010231000868,17,1,12
AL,ALABAMA,0102350,Midfield City,00891,Midfield High School,010235000891,010235000891,1,1,0
AL,ALABAMA,0102370,Mobile County,00898,Ben C Rain High School,010237000898,010237000898,1,0,16
AL,ALABAMA,0102370,Mobile County,00899,Baker High School,010237000899,010237000899,3,3,66
AL,ALABAMA,0102370,Mobile County,00912,WP Davidson High School,010237000912,010237000912,3,3,50
AL,ALABAMA,0102430,Montgomery County,00504,Booker T Washington Magnet High School,010243000504,010243000504,1,1,4
AL,ALABAMA,0102430,Montgomery County,01015,Carver Senior High School,010243001015,010243001015,1,1,8
AL,ALABAMA,0102430,Montgomery County,01035,Lee High School,010243001035,010243001035,1,1,2
AL,ALABAMA,0102430,Montgomery County,01036,Lanier Senior High School,010243001036,010243001036,2,2,44
AL,ALABAMA,0102430,Montgomery County,01417,Loveless Academic Magnet Program High School,010243001417,010243001417,8,8,44
AL,ALABAMA,0102430,Montgomery County,01457,Brewbaker Technology Magnet High School,010243001457,010243001457,7,6,106
AL,ALABAMA,0102430,Montgomery County,02214,Park Crossing High School,010243002214,010243002214,2,1,48
AL,ALABAMA,0102480,Morgan County,01042,Danville High School,010248001042,010248001042,1,1,4
AL,ALABAMA,0102480,Morgan County,01048,Priceville High School,010248001048,010248001048,1,1,4
AL,ALABAMA,0102480,Morgan County,01696,Albert P Brewer High School,010248001696,010248001696,3,3,8
AL,ALABAMA,0102490,Mountain Brook City,01056,Mountain Brook High School,010249001056,010249001056,6,6,148
AL,ALABAMA,0102520,Muscle Shoals City,01062,Muscle Shoals High School,010252001062,010252001062,1,1,38
AL,ALABAMA,0102550,Oneonta City,01064,Oneonta High School,010255001064,010255001064,1,1,14
AL,ALABAMA,0102580,Opelika City,01070,Opelika High School,010258001070,010258001070,2,2,24
AL,ALABAMA,0102610,Opp City,01073,Opp High School,010261001073,010261001073,1,1,12
AL,ALABAMA,0102640,Ozark City,01080,Carroll High School,010264001080,010264001080,1,1,18
AL,ALABAMA,0102650,Pell City,01573,Pell City High School,010265001573,010265001573,1,1,12
AL,ALABAMA,0102670,Perry County,01734,Francis Marion School,010267001734,010267001734,1,0,8
AL,ALABAMA,0102700,Phenix City,01088,Central High School,010270001088,010270001088,1,1,10
AL,ALABAMA,0102760,Piedmont City,01108,Piedmont High School,010276001108,010276001108,1,1,4
AL,ALABAMA,0102880,Russell County,01802,Russell County High School,010288001802,010288001802,2,2,30
AL,ALABAMA,0102910,Russellville City,01142,Russellville High School,010291001142,010291001142,1,1,28
AL,ALABAMA,0102940,Scottsboro City,01147,Scottsboro High School,010294001147,010294001147,1,1,38
AL,ALABAMA,0102970,Selma City,01160,Selma High School,010297001160,010297001160,1,1,22
AL,ALABAMA,0103000,Sheffield City,01164,Sheffield High School,010300001164,010300001164,1,1,2
AL,ALABAMA,0103030,Shelby County,01170,Calera High,010303001170,010303001170,2,2,18
AL,ALABAMA,0103030,Shelby County,01174,Shelby County High School,010303001174,010303001174,1,1,14
AL,ALABAMA,0103030,Shelby County,01187,Vincent Middle High School,010303001187,010303001187,1,1,32
AL,ALABAMA,0103030,Shelby County,01189,Oak Mountain High School,010303001189,010303001189,6,6,26
AL,ALABAMA,0103030,Shelby County,02191,Helena High School,010303002191,010303002191,1,1,18
AL,ALABAMA,0103062,St Clair County,01362,Ashville High School,010306201362,010306201362,1,1,10
AL,ALABAMA,0103062,St Clair County,01376,Ragland High School,010306201376,010306201376,1,1,4
AL,ALABAMA,0103062,St Clair County,01591,Moody High School,010306201591,010306201591,1,1,16
AL,ALABAMA,0103150,Talladega City,01207,Talladega High School,010315001207,010315001207,1,1,8
AL,ALABAMA,0103180,Talladega County,01210,BB Comer Memorial High School,010318001210,010318001210,1,1,6
AL,ALABAMA,0103180,Talladega County,01213,Childersburg High School,010318001213,010318001213,1,1,20
AL,ALABAMA,0103180,Talladega County,01214,Lincoln High School,010318001214,010318001214,1,1,8
AL,ALABAMA,0103180,Talladega County,01220,Munford High School,010318001220,010318001220,2,2,8
AL,ALABAMA,0103210,Tallapoosa County,01229,Dadeville High School,010321001229,010321001229,1,1,4
AL,ALABAMA,0103240,Tallassee City,01238,Tallassee High School,010324001238,010324001238,2,2,18
AL,ALABAMA,0103330,Troy City,01602,Charles Henderson High School,010333001602,010333001602,2,2,14
AL,ALABAMA,0103360,Tuscaloosa City,01608,Central High School,010336001608,010336001608,1,1,8
AL,ALABAMA,0103360,Tuscaloosa City,02101,Paul W Bryant High School,010336002101,010336002101,4,4,20
AL,ALABAMA,0103360,Tuscaloosa City,02102,Northridge High School,010336002102,010336002102,1,1,20
AL,ALABAMA,0103390,Tuscaloosa County,01274,Brookwood High School,010339001274,010339001274,1,1,10
AL,ALABAMA,0103390,Tuscaloosa County,01287,Northside High School,010339001287,010339001287,1,1,4
AL,ALABAMA,0103390,Tuscaloosa County,01291,Tuscaloosa County High School,010339001291,010339001291,1,1,12
AL,ALABAMA,0103430,Vestavia Hills City,01304,Vestavia Hills High School,010343001304,010343001304,6,3,138
AL,ALABAMA,0103450,Walker County,00135,Carbon Hill High School,010345000135,010345000135,1,1,2
AL,ALABAMA,0103450,Walker County,01308,Cordova High School,010345001308,010345001308,1,1,16
AL,ALABAMA,0103510,Wilcox County,01780,Wilcox Central High School,010351001780,010351001780,2,2,18
AL,ALABAMA,0103540,Winfield City,01355,Winfield High School,010354001355,010354001355,2,2,20
AK,ALASKA,0200001,Lower Kuskokwim School District,00208,Bethel Regional High School,020000100208,020000100208,2,2,18
AK,ALASKA,0200006,Mount Edgecumbe High School Agency,00558,Mt. Edgecumbe High School,020000600558,020000600558,3,3,34
AK,ALASKA,0200010,Aleutian Region School District,00005,Yakov E. Netsvetov School,020001000005,020001000005,1,1,2
AK,ALASKA,0200090,Craig City School District,00038,Craig High School,020009000038,020009000038,1,1,2
AK,ALASKA,0200120,Dillingham City School District,00634,Dillingham Middle/High School,020012000634,020012000634,1,1,22
AK,ALASKA,0200130,Galena City School District,00253,Interior Distance Education of Alaska (IDEA),020013000253,020013000253,1,1,28
AK,ALASKA,0200150,Ketchikan Gateway Borough School District,00047,Ketchikan High School,020015000047,020015000047,1,1,22
AK,ALASKA,0200180,Anchorage School District,00057,Bartlett High School,020018000057,020018000057,4,3,44
AK,ALASKA,0200180,Anchorage School District,00069,Chugiak High School,020018000069,020018000069,2,1,42
AK,ALASKA,0200180,Anchorage School District,00073,Dimond High School,020018000073,020018000073,3,0,78
AK,ALASKA,0200180,Anchorage School District,00075,East High School,020018000075,020018000075,3,3,72
AK,ALASKA,0200180,Anchorage School District,00120,West High School,020018000120,020018000120,5,5,114
AK,ALASKA,0200180,Anchorage School District,00178,Family Partnership Charter School,020018000178,020018000178,2,0,2
AK,ALASKA,0200180,Anchorage School District,00454,South Anchorage High School,020018000454,020018000454,3,3,96
AK,ALASKA,0200180,Anchorage School District,00458,Eagle River High School,020018000458,020018000458,1,1,18
AK,ALASKA,0200180,Anchorage School District,00531,Service High School,020018000531,020018000531,3,3,46
AK,ALASKA,0200210,Juneau Borough School District,00125,HomeBRIDGE,020021000125,020021000125,2,2,2
AK,ALASKA,0200210,Juneau Borough School District,00133,Juneau-Douglas High School,020021000133,020021000133,3,3,38
AK,ALASKA,0200210,Juneau Borough School District,00737,Thunder Mountain High School,020021000737,020021000737,2,2,34
AK,ALASKA,0200240,Sitka School District,00143,Sitka High School,020024000143,020024000143,1,1,2
AK,ALASKA,0200390,Kenai Peninsula Borough School District,00158,Homer High School,020039000158,020039000158,1,1,20
AK,ALASKA,0200390,Kenai Peninsula Borough School District,00165,Ninilchik School,020039000165,020039000165,1,0,0
AK,ALASKA,0200390,Kenai Peninsula Borough School District,00397,Connections,020039000397,020039000397,1,1,2
AK,ALASKA,0200390,Kenai Peninsula Borough School District,00537,Kenai Central High School,020039000537,020039000537,1,0,14
AK,ALASKA,0200390,Kenai Peninsula Borough School District,00540,Seward High School,020039000540,020039000540,2,0,6
AK,ALASKA,0200390,Kenai Peninsula Borough School District,00542,Soldotna High School,020039000542,020039000542,1,1,34
AK,ALASKA,0200450,Klawock City School District,00179,Klawock City School,020045000179,020045000179,1,0,0
AK,ALASKA,0200480,Kodiak Island Borough School District,00185,Kodiak High School,020048000185,020048000185,2,2,12
AK,ALASKA,0200510,Matanuska-Susitna Borough School District,00224,Mat-Su Central School,020051000224,020051000224,1,1,2
AK,ALASKA,0200510,Matanuska-Susitna Borough School District,00747,Mat-Su Middle College School,020051000747,020051000747,8,0,26
AK,ALASKA,0200520,Iditarod Area School District,00327,Distance Learning/Corresp. Ctr.,020052000327,020052000327,1,1,4
AK,ALASKA,0200540,Nenana City School District,00251,Nenana City School,020054000251,020054000251,1,1,0
AK,ALASKA,0200540,Nenana City School District,00321,CyberLynx Correspondence Program,020054000321,020054000321,1,0,0
AK,ALASKA,0200570,Nome Public Schools,00568,Nome-Beltz Jr/Sr High,020057000568,020057000568,1,1,6
AK,ALASKA,0200600,Fairbanks North Star Borough School District,00260,Ben Eielson Jr/Sr High School,020060000260,020060000260,1,1,10
AK,ALASKA,0200600,Fairbanks North Star Borough School District,00270,Lathrop High School,020060000270,020060000270,1,1,38
AK,ALASKA,0200600,Fairbanks North Star Borough School District,00273,North Pole High School,020060000273,020060000273,1,1,12
AK,ALASKA,0200600,Fairbanks North Star Borough School District,00281,West Valley High School,020060000281,020060000281,3,3,74
AK,ALASKA,0200600,Fairbanks North Star Borough School District,00650,Hutchison High School,020060000650,020060000650,1,1,18
AK,ALASKA,0200625,Northwest Arctic Borough School District,00569,Kotzebue Middle/High School,020062500569,020062500569,1,1,2
AK,ALASKA,0200660,Petersburg Borough School District,00570,Petersburg High School,020066000570,020066000570,2,2,4
AK,ALASKA,0200690,Skagway School District,00310,Skagway School,020069000310,020069000310,1,1,4
AK,ALASKA,0200700,Southeast Island School District,00319,Barry Craig Stewart Kasaan School,020070000319,020070000319,1,1,4
AK,ALASKA,0200700,Southeast Island School District,00326,Thorne Bay School,020070000326,020070000326,1,1,2
AK,ALASKA,0200720,Unalaska City School District,00661,Unalaska Jr/Sr High School,020072000661,020072000661,1,1,12
AK,ALASKA,0200770,Denali Borough School District,00357,Tri-Valley School,020077000357,020077000357,1,1,2
AK,ALASKA,0200780,Valdez City School District,00370,Valdez High School,020078000370,020078000370,2,2,10
AK,ALASKA,0200800,Chugach School District,00372,Whittier Community School,020080000372,020080000372,1,0,0
AK,ALASKA,0200800,Chugach School District,00496,FOCUS Homeschool,020080000496,020080000496,2,0,4
AK,ALASKA,0200810,Wrangell Public School District,00576,Wrangell High School,020081000576,020081000576,1,1,4
AZ,ARIZONA,0400001,Cave Creek Unified District,01204,Cactus Shadows High School,040000101204,040000101204,12,12,248
AZ,ARIZONA,0400003,Chino Valley Unified District,01458,Chino Valley High School,040000301458,040000301458,1,1,18
AZ,ARIZONA,0400016,Center for Academic Success  Inc.,00481,Center for Academic Success  The #2,040001600481,040001600481,1,1,16
AZ,ARIZONA,0400019,Flagstaff Arts And Leadership Academy,00498,Flagstaff Arts And Leadership Academy,040001900498,040001900498,3,1,32
AZ,ARIZONA,0400026,Heber-Overgaard Unified District,01460,Mogollon High School,040002601460,040002601460,1,1,10
AZ,ARIZONA,0400036,Foothills Academy,00709,Foothills Academy,040003600709,040003600709,1,1,20
AZ,ARIZONA,0400041,Maricopa County Community College District dba Gateway Early,00718,Gateway Early College High School,040004100718,040004100718,5,1,12
AZ,ARIZONA,0400043,New School For The Arts,00733,New School for the Arts,040004300733,040004300733,1,1,4
AZ,ARIZONA,0400053,Heritage Academy  Inc.,00754,Heritage Academy,040005300754,040005300754,3,0,50
AZ,ARIZONA,0400056,Arizona School For The Arts,00781,Arizona School For The Arts,040005600781,040005600781,6,6,68
AZ,ARIZONA,0400065,Benjamin Franklin Charter School,03395,Benjamin Franklin High School,040006503395,040006503395,1,1,12
AZ,ARIZONA,0400070,Tempe Preparatory Academy,00831,Tempe Preparatory Academy,040007000831,040007000831,3,0,42
AZ,ARIZONA,0400082,Colorado River Union High School District,00006,River Valley High School,040008200006,040008200006,1,1,12
AZ,ARIZONA,0400082,Colorado River Union High School District,01457,Mohave High School,040008201457,040008201457,2,2,30
AZ,ARIZONA,0400097,Northland Preparatory Academy,01178,Northland Preparatory Academy,040009701178,040009701178,3,3,34
AZ,ARIZONA,0400106,Arizona Agribusiness & Equine Center Inc. 1,01892,AAEC - Paradise Valley,040010601892,040010601892,9,9,30
