LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,SCH_MATHCLASSES_ALG2,SCH_MATHCERT_ALG2,NCESSCH,Total_Alg2_enroll_students
AL,ALABAMA,0100390,Birmingham City,00192,Wenonah High School,010039000192,9,8,010039000192,137
AL,ALABAMA,0100390,Birmingham City,00198,Woodlawn High SchoolMagnet,010039000198,7,7,010039000198,168
AL,ALABAMA,0100390,Birmingham City,01468,George Washington Carver High School,010039001468,10,2,010039001468,182
AL,ALABAMA,0100420,Blount County,00203,Appalachian  School,010042000203,2,2,010042000203,41
AL,ALABAMA,0100420,Blount County,00206,Cleveland High School,010042000206,2,2,010042000206,33
AL,ALABAMA,0100420,Blount County,00208,Hayden High School,010042000208,9,9,010042000208,180
AL,ALABAMA,0100420,Blount County,00209,JB Pennington High School,010042000209,3,3,010042000209,53
AL,ALABAMA,0100420,Blount County,00210,Locust Fork High School,010042000210,3,3,010042000210,58
AL,ALABAMA,0100420,Blount County,00211,Southeastern School,010042000211,2,2,010042000211,55
AL,ALABAMA,0100420,Blount County,00213,Susan Moore High School,010042000213,2,2,010042000213,43
AL,ALABAMA,0100450,Brewton City,00216,TR Miller High School,010045000216,4,4,010045000216,84
AL,ALABAMA,0100480,Bullock County,00218,Bullock County High School,010048000218,4,3,010048000218,101
AL,ALABAMA,0100510,Butler County,00226,Greenville High School,010051000226,7,6,010051000226,76
AL,ALABAMA,0100510,Butler County,00229,McKenzie High School,010051000229,1,1,010051000229,22
AL,ALABAMA,0100510,Butler County,02144,Georgiana School,010051002144,1,1,010051002144,24
AL,ALABAMA,0100540,Calhoun County,00232,Alexandria High School,010054000232,5,5,010054000232,139
AL,ALABAMA,0100540,Calhoun County,00240,Ohatchee High School,010054000240,42,42,010054000240,42
AL,ALABAMA,0100540,Calhoun County,00243,Saks High School,010054000243,2,2,010054000243,56
AL,ALABAMA,0100540,Calhoun County,00250,White Plains High School,010054000250,3,3,010054000250,62
AL,ALABAMA,0100540,Calhoun County,01488,Pleasant Valley High School,010054001488,4,4,010054001488,52
AL,ALABAMA,0100540,Calhoun County,01489,Wellborn High School,010054001489,5,5,010054001489,106
AL,ALABAMA,0100600,Chambers County,00271,Valley High School,010060000271,5,5,010060000271,74
AL,ALABAMA,0100630,Cherokee County,00274,Cedar Bluff High School,010063000274,2,2,010063000274,45
AL,ALABAMA,0100630,Cherokee County,00278,Cherokee County High School,010063000278,3,3,010063000278,69
AL,ALABAMA,0100630,Cherokee County,00279,Gaylesville High School,010063000279,1,1,010063000279,8
AL,ALABAMA,0100630,Cherokee County,00282,Sand Rock High School,010063000282,2,2,010063000282,36
AL,ALABAMA,0100630,Cherokee County,00283,Spring Garden High School,010063000283,2,2,010063000283,50
AL,ALABAMA,0100630,Cherokee County,00741,Cherokee County Career Technology Center,010063000741,1,0,010063000741,10
AL,ALABAMA,0100660,Chilton County,00261,Isabella High School,010066000261,2,2,010066000261,53
AL,ALABAMA,0100660,Chilton County,00262,Jemison High School,010066000262,2,2,010066000262,43
AL,ALABAMA,0100660,Chilton County,00265,Maplesville High School,010066000265,1,1,010066000265,17
AL,ALABAMA,0100660,Chilton County,00270,Thorsby High School,010066000270,1,1,010066000270,23
AL,ALABAMA,0100660,Chilton County,00288,Verbena High School,010066000288,3,3,010066000288,23
AL,ALABAMA,0100660,Chilton County,01491,Chilton County High School,010066001491,12,3,010066001491,134
AL,ALABAMA,0100690,Choctaw County Board of Education,00291,Choctaw County High School,010069000291,1,1,010069000291,19
AL,ALABAMA,0100690,Choctaw County Board of Education,00297,Southern Choctaw High School,010069000297,2,2,010069000297,57
AL,ALABAMA,0100720,Clarke County,00298,Clarke County High School,010072000298,1,1,010072000298,24
AL,ALABAMA,0100720,Clarke County,01493,Jackson High School,010072001493,1,1,010072001493,21
AL,ALABAMA,0100780,Cleburne County,00318,Cleburne County High School,010078000318,6,6,010078000318,110
AL,ALABAMA,0100780,Cleburne County,00321,Ranburne High School,010078000321,3,3,010078000321,60
AL,ALABAMA,0100810,Coffee County,00323,Kinston School,010081000323,1,1,010081000323,12
AL,ALABAMA,0100810,Coffee County,01494,New Brockton High School,010081001494,2,2,010081001494,30
AL,ALABAMA,0100840,Colbert County,00333,Cherokee High School,010084000333,2,2,010084000333,36
AL,ALABAMA,0100840,Colbert County,00334,Colbert County High School,010084000334,4,4,010084000334,62
AL,ALABAMA,0100840,Colbert County,00335,Colbert Heights High School,010084000335,2,2,010084000335,44
AL,ALABAMA,0100870,Conecuh County,01766,Hillcrest High School,010087001766,3,3,010087001766,29
AL,ALABAMA,0100900,Coosa County,01749,Central High School,010090001749,2,2,010090001749,41
AL,ALABAMA,0100930,Covington County,00360,Florala High School,010093000360,1,1,010093000360,14
AL,ALABAMA,0100930,Covington County,00361,Pleasant Home School,010093000361,1,1,010093000361,21
AL,ALABAMA,0100930,Covington County,00362,Red Level High School,010093000362,1,1,010093000362,11
AL,ALABAMA,0100930,Covington County,00363,Straughn High School,010093000363,2,2,010093000363,36
AL,ALABAMA,0100960,Crenshaw County,00365,Brantley High School,010096000365,2,2,010096000365,37
AL,ALABAMA,0100960,Crenshaw County,00367,Highland Home School,010096000367,3,3,010096000367,17
AL,ALABAMA,0100960,Crenshaw County,00368,Luverne High School,010096000368,3,3,010096000368,54
AL,ALABAMA,0100990,Cullman City,00370,Cullman High School,010099000370,10,10,010099000370,140
AL,ALABAMA,0101020,Cullman County,00374,Cold Springs High School,010102000374,1,1,010102000374,23
AL,ALABAMA,0101020,Cullman County,00379,Good Hope High School,010102000379,1,1,010102000379,1
AL,ALABAMA,0101020,Cullman County,00380,Hanceville High School,010102000380,2,2,010102000380,36
AL,ALABAMA,0101020,Cullman County,00381,Holly Pond High School,010102000381,2,0,010102000381,48
AL,ALABAMA,0101020,Cullman County,00385,Vinemont High School,010102000385,2,2,010102000385,33
AL,ALABAMA,0101020,Cullman County,00387,West Point High School,010102000387,4,4,010102000387,95
AL,ALABAMA,0101050,Dale County,00388,Ariton School,010105000388,3,3,010105000388,61
AL,ALABAMA,0101050,Dale County,00389,Dale County High School,010105000389,2,2,010105000389,47
AL,ALABAMA,0101050,Dale County,00390,George W Long High School,010105000390,5,5,010105000390,64
AL,ALABAMA,0101080,Daleville City,00394,Daleville High School,010108000394,3,3,010108000394,57
AL,ALABAMA,0101110,Dallas County,00397,Dallas County High School,010111000397,5,5,010111000397,127
AL,ALABAMA,0101110,Dallas County,00402,Keith MiddleHigh School,010111000402,3,1,010111000402,79
AL,ALABAMA,0101110,Dallas County,00406,Southside High School,010111000406,5,2,010111000406,114
AL,ALABAMA,0101140,DeKalb County,00411,Collinsville High School,010114000411,3,3,010114000411,52
AL,ALABAMA,0101140,DeKalb County,00424,Sylvania School,010114000424,2,2,010114000424,27
AL,ALABAMA,0101140,DeKalb County,00425,Valley Head High School,010114000425,1,1,010114000425,18
AL,ALABAMA,0101170,Decatur City,00426,Austin High School,010117000426,10,10,010117000426,107
AL,ALABAMA,0101170,Decatur City,00429,Decatur High School,010117000429,7,7,010117000429,98
AL,ALABAMA,0101200,Demopolis City,00148,Demopolis High School,010120000148,7,7,010120000148,145
AL,ALABAMA,0101230,Dothan City,00445,Dothan High School,010123000445,7,7,010123000445,168
AL,ALABAMA,0101230,Dothan City,01501,Northview High School,010123001501,3,3,010123001501,70
AL,ALABAMA,0101260,Elba City,00461,Elba High School,010126000461,2,2,010126000461,48
AL,ALABAMA,0101290,Elmore County,00463,Elmore County High School,010129000463,3,3,010129000463,63
AL,ALABAMA,0101290,Elmore County,00465,Holtville High School,010129000465,2,2,010129000465,49
AL,ALABAMA,0101290,Elmore County,00468,Stanhope Elmore High School,010129000468,7,7,010129000468,144
AL,ALABAMA,0101290,Elmore County,00471,Wetumpka High School,010129000471,12,12,010129000471,220
AL,ALABAMA,0101290,Elmore County,99998,ELMORE COUNTY ALTERNATIVE PROGRAMs,010129099998,1,1,010129099998,23
AL,ALABAMA,0101320,Enterprise City,00476,Enterprise High School,010132000476,28,22,010132000476,677
AL,ALABAMA,0101350,Escambia County,00484,Escambia County High School,010135000484,4,0,010135000484,70
AL,ALABAMA,0101350,Escambia County,00487,Flomaton High School,010135000487,3,3,010135000487,61
AL,ALABAMA,0101350,Escambia County,00492,W S Neal High School,010135000492,8,7,010135000492,122
AL,ALABAMA,0101380,Etowah County,00496,Gaston High School,010138000496,2,2,010138000496,23
AL,ALABAMA,0101380,Etowah County,00498,Glencoe High School,010138000498,3,3,010138000498,73
AL,ALABAMA,0101380,Etowah County,00505,Sardis High School,010138000505,2,2,010138000505,70
AL,ALABAMA,0101380,Etowah County,00506,Southside High School,010138000506,7,7,010138000506,116
AL,ALABAMA,0101380,Etowah County,00507,West End High School,010138000507,1,1,010138000507,25
AL,ALABAMA,0101380,Etowah County,01662,Hokes Bluff High School,010138001662,3,3,010138001662,69
AL,ALABAMA,0101410,Eufaula City,00511,Eufaula High School,010141000511,4,4,010141000511,158
AL,ALABAMA,0101440,Fairfield City,00516,Fairfield High Preparatory School,010144000516,3,3,010144000516,87
AL,ALABAMA,0101470,Fayette County,00521,Berry High School,010147000521,15,15,010147000521,15
AL,ALABAMA,0101470,Fayette County,00525,Hubbertville School,010147000525,1,1,010147000525,12
AL,ALABAMA,0101470,Fayette County,01787,Fayette County High School,010147001787,1,1,010147001787,15
AL,ALABAMA,0101530,Florence City,00528,Florence High School,010153000528,18,18,010153000528,326
AL,ALABAMA,0101560,Fort Payne City,00538,Fort Payne High School,010156000538,10,10,010156000538,171
AL,ALABAMA,0101590,Franklin County,00541,Belgreen High School,010159000541,1,1,010159000541,13
AL,ALABAMA,0101590,Franklin County,00544,Phil Campbell High School,010159000544,2,2,010159000544,68
AL,ALABAMA,0101590,Franklin County,00545,Red Bay High School,010159000545,2,2,010159000545,42
AL,ALABAMA,0101590,Franklin County,00548,Vina High School,010159000548,1,1,010159000548,20
AL,ALABAMA,0101590,Franklin County,01869,Tharptown High School,010159001869,2,2,010159001869,74
AL,ALABAMA,0101620,Gadsden City,01824,Gadsden City High School,010162001824,8,8,010162001824,237
AL,ALABAMA,0101640,Geneva City,00567,Geneva High School,010164000567,3,3,010164000567,46
AL,ALABAMA,0101660,Geneva County,00570,Geneva County High School,010166000570,3,3,010166000570,39
AL,ALABAMA,0101660,Geneva County,00571,Samson High School,010166000571,4,4,010166000571,51
AL,ALABAMA,0101660,Geneva County,01519,Slocomb High School,010166001519,4,4,010166001519,77
AL,ALABAMA,0101680,Greene County,00576,Greene County High School,010168000576,3,3,010168000576,60
AL,ALABAMA,0101690,Guntersville City,00582,Guntersville High School,010169000582,4,4,010169000582,73
AL,ALABAMA,0101710,Hale County,00588,Hale County High School,010171000588,2,2,010171000588,30
AL,ALABAMA,0101710,Hale County,02162,Greensboro High School,010171002162,4,1,010171002162,96
AL,ALABAMA,0101720,Haleyville City,00594,Haleyville High School,010172000594,3,3,010172000594,58
AL,ALABAMA,0101730,Hartselle City,00599,Hartselle High School,010173000599,7,7,010173000599,223
AL,ALABAMA,0101740,Henry County,00600,Abbeville High School,010174000600,1,1,010174000600,26
AL,ALABAMA,0101740,Henry County,00604,Headland High School,010174000604,5,5,010174000604,81
AL,ALABAMA,0101740,Henry County,99999,Camp Sayla,010174099999,7,0,010174099999,7
AL,ALABAMA,0101760,Homewood City,00608,Homewood High School,010176000608,2,2,010176000608,33
AL,ALABAMA,0101770,Houston County,00611,Ashford High School,010177000611,2,2,010177000611,39
AL,ALABAMA,0101770,Houston County,00612,Cottonwood High School,010177000612,3,3,010177000612,56
AL,ALABAMA,0101770,Houston County,00614,Houston County High School,010177000614,1,1,010177000614,19
AL,ALABAMA,0101770,Houston County,00615,Rehobeth High School,010177000615,3,3,010177000615,52
AL,ALABAMA,0101770,Houston County,00617,Wicksburg High School,010177000617,4,4,010177000617,85
AL,ALABAMA,0101800,Huntsville City,00629,Virgil Grissom High School,010180000629,8,8,010180000629,94
AL,ALABAMA,0101800,Huntsville City,00631,Huntsville High School,010180000631,5,5,010180000631,94
AL,ALABAMA,0101800,Huntsville City,00636,Lee High School,010180000636,5,5,010180000636,60
AL,ALABAMA,0101800,Huntsville City,01651,Columbia High School,010180001651,4,4,010180001651,97
AL,ALABAMA,0101800,Huntsville City,02419,Jemison High School,010180002419,4,4,010180002419,81
AL,ALABAMA,0101830,Jackson County,00662,North Sand Mountain School,010183000662,2,2,010183000662,29
AL,ALABAMA,0101830,Jackson County,00663,Paint Rock Valley High School,010183000663,1,1,010183000663,7
AL,ALABAMA,0101830,Jackson County,00667,Section High School,010183000667,3,3,010183000667,52
AL,ALABAMA,0101830,Jackson County,00668,Skyline High School,010183000668,2,2,010183000668,32
AL,ALABAMA,0101830,Jackson County,00671,Woodville High School,010183000671,2,2,010183000671,32
AL,ALABAMA,0101830,Jackson County,01532,Pisgah High School,010183001532,2,2,010183001532,23
AL,ALABAMA,0101830,Jackson County,01751,North Jackson High School,010183001751,78,78,010183001751,114
AL,ALABAMA,0101860,Jacksonville City,00673,Jacksonville High School,010186000673,5,5,010186000673,90
AL,ALABAMA,0101890,Jasper City Board Of Education,00678,Jasper High School,010189000678,3,3,010189000678,71
AL,ALABAMA,0101920,Jefferson County,00469,ClayChalkville High School,010192000469,8,8,010192000469,220
AL,ALABAMA,0101920,Jefferson County,00698,Corner High School,010192000698,3,3,010192000698,44
AL,ALABAMA,0101920,Jefferson County,00702,Center Point High School,010192000702,4,4,010192000702,281
AL,ALABAMA,0101920,Jefferson County,00704,Fultondale High School,010192000704,6,6,010192000704,142
AL,ALABAMA,0101920,Jefferson County,00706,Gardendale High School,010192000706,14,14,010192000706,254
AL,ALABAMA,0101920,Jefferson County,00717,Hueytown High School,010192000717,4,4,010192000717,135
AL,ALABAMA,0101920,Jefferson County,00725,McAdory High School,010192000725,4,4,010192000725,111
AL,ALABAMA,0101920,Jefferson County,00728,Mortimer Jordan High School,010192000728,5,5,010192000728,139
AL,ALABAMA,0101920,Jefferson County,00732,Oak Grove High School,010192000732,4,4,010192000732,86
AL,ALABAMA,0101920,Jefferson County,00734,Pinson Valley High School,010192000734,11,11,010192000734,249
AL,ALABAMA,0101920,Jefferson County,00737,Pleasant Grove High School,010192000737,8,8,010192000737,50
AL,ALABAMA,0101920,Jefferson County,00744,Shades Valley High School,010192000744,3,3,010192000744,254
AL,ALABAMA,0101920,Jefferson County,01752,Minor High School,010192001752,2,2,010192001752,57
AL,ALABAMA,0101950,Lamar County,00756,Sulligent School,010195000756,3,3,010195000756,31
AL,ALABAMA,0101950,Lamar County,01511,Lamar County HighIntermediate,010195001511,4,4,010195001511,65
AL,ALABAMA,0101950,Lamar County,01720,South Lamar School,010195001720,3,3,010195001720,56
AL,ALABAMA,0101980,Lanett City,00759,Lanett Senior High School,010198000759,3,3,010198000759,35
AL,ALABAMA,0102010,Lauderdale County,00764,Brooks High School,010201000764,5,5,010201000764,96
AL,ALABAMA,0102010,Lauderdale County,00765,Central High School,010201000765,3,3,010201000765,50
AL,ALABAMA,0102010,Lauderdale County,00767,Lauderdale County High School,010201000767,2,2,010201000767,28
AL,ALABAMA,0102010,Lauderdale County,00770,Lexington School,010201000770,2,2,010201000770,35
AL,ALABAMA,0102010,Lauderdale County,00772,Rogers High School,010201000772,3,3,010201000772,71
AL,ALABAMA,0102010,Lauderdale County,00774,Waterloo High School,010201000774,1,1,010201000774,22
AL,ALABAMA,0102010,Lauderdale County,00775,Wilson High School,010201000775,5,5,010201000775,96
AL,ALABAMA,0102040,Lawrence County,00776,R A Hubbard High School,010204000776,3,3,010204000776,31
AL,ALABAMA,0102040,Lawrence County,00780,Hatton High School,010204000780,48,3,010204000780,48
AL,ALABAMA,0102040,Lawrence County,00783,Lawrence County High School,010204000783,6,6,010204000783,76
AL,ALABAMA,0102040,Lawrence County,01546,East Lawrence High School,010204001546,75,4,010204001546,81
AL,ALABAMA,0102070,Lee County,00790,Beauregard High School,010207000790,2,2,010207000790,35
AL,ALABAMA,0102070,Lee County,00791,Beulah High School,010207000791,5,5,010207000791,105
AL,ALABAMA,0102070,Lee County,00792,Loachapoka High School,010207000792,2,2,010207000792,32
AL,ALABAMA,0102070,Lee County,00795,Smiths Station High School,010207000795,12,12,010207000795,173
AL,ALABAMA,0102070,Lee County,99999,Lee County Learning Center,010207099999,1,1,010207099999,1
AL,ALABAMA,0102100,Limestone County,00797,Ardmore High School,010210000797,3,3,010210000797,18
AL,ALABAMA,0102100,Limestone County,00799,Clements High School,010210000799,1,1,010210000799,19
AL,ALABAMA,0102100,Limestone County,00808,Tanner High School,010210000808,4,4,010210000808,48
AL,ALABAMA,0102100,Limestone County,00810,West Limestone High School,010210000810,4,4,010210000810,16
AL,ALABAMA,0102100,Limestone County,01549,Elkmont High School,010210001549,2,2,010210001549,44
AL,ALABAMA,0102130,Linden City,00813,Linden High School,010213000813,25,2,010213000813,25
AL,ALABAMA,0102160,Lowndes County,00815,Calhoun High School,010216000815,2,1,010216000815,71
AL,ALABAMA,0102160,Lowndes County,00817,Central High School,010216000817,2,1,010216000817,39
AL,ALABAMA,0102190,Macon County,00824,Notasulga High School,010219000824,3,2,010219000824,26
AL,ALABAMA,0102190,Macon County,01811,Booker T Washington High,010219001811,6,4,010219001811,33
AL,ALABAMA,0102220,Madison County,00556,Madison County High School,010222000556,2,2,010222000556,45
AL,ALABAMA,0102220,Madison County,00843,New Hope High School,010222000843,2,2,010222000843,56
AL,ALABAMA,0102220,Madison County,00848,Sparkman High School,010222000848,17,17,010222000848,311
AL,ALABAMA,0102220,Madison County,01683,Buckhorn High School,010222001683,3,3,010222001683,50
AL,ALABAMA,0102220,Madison County,01821,Sparkman Ninth Grade School,010222001821,2,2,010222001821,39
AL,ALABAMA,0102250,Marengo County,00852,Amelia L Johnson High School,010225000852,1,0,010225000852,16
AL,ALABAMA,0102250,Marengo County,00856,Marengo High School,010225000856,2,2,010225000856,19
AL,ALABAMA,0102250,Marengo County,00857,Sweet Water High School,010225000857,1,1,010225000857,33
AL,ALABAMA,0102310,Marion County,00862,Brilliant High School,010231000862,2,2,010231000862,16
AL,ALABAMA,0102310,Marion County,00863,Marion County High School,010231000863,2,2,010231000863,13
AL,ALABAMA,0102310,Marion County,00866,Hackleburg High School,010231000866,1,1,010231000866,13
AL,ALABAMA,0102310,Marion County,00868,Hamilton High School,010231000868,120,6,010231000868,120
AL,ALABAMA,0102310,Marion County,00869,Phillips High School,010231000869,1,1,010231000869,21
AL,ALABAMA,0102350,Midfield City,00891,Midfield High School,010235000891,4,0,010235000891,80
AL,ALABAMA,0102370,Mobile County,00899,Baker High School,010237000899,5,5,010237000899,136
AL,ALABAMA,0102370,Mobile County,00900,Mattie T Blount High School,010237000900,2,1,010237000900,52
AL,ALABAMA,0102370,Mobile County,00906,Citronelle High School,010237000906,4,4,010237000906,82
AL,ALABAMA,0102370,Mobile County,00912,WP Davidson High School,010237000912,7,6,010237000912,74
AL,ALABAMA,0102370,Mobile County,00934,Mary G Montgomery High School,010237000934,6,3,010237000934,159
AL,ALABAMA,0102370,Mobile County,00942,Murphy High School,010237000942,14,12,010237000942,331
AL,ALABAMA,0102370,Mobile County,00962,John L Leflore Magnet School,010237000962,6,6,010237000962,53
AL,ALABAMA,0102370,Mobile County,00989,Alma Bryant High School,010237000989,3,1,010237000989,86
AL,ALABAMA,0102370,Mobile County,01686,Continuous Learning Center,010237001686,1,1,010237001686,4
AL,ALABAMA,0102400,Monroe County,00973,Monroe County High School,010240000973,2,1,010240000973,14
AL,ALABAMA,0102400,Monroe County,00975,Excel High School,010240000975,1,1,010240000975,26
AL,ALABAMA,0102400,Monroe County,00979,J F Shields High School,010240000979,1,1,010240000979,16
AL,ALABAMA,0102400,Monroe County,00980,J U Blacksher School,010240000980,1,1,010240000980,28
AL,ALABAMA,0102400,Monroe County,01087,C P Carmichael Alternative School,010240001087,1,1,010240001087,15
AL,ALABAMA,0102430,Montgomery County,00504,Booker T Washington Magnet High School,010243000504,5,5,010243000504,89
AL,ALABAMA,0102430,Montgomery County,01024,Jefferson Davis High School,010243001024,11,11,010243001024,228
AL,ALABAMA,0102430,Montgomery County,01035,Lee High School,010243001035,6,6,010243001035,192
AL,ALABAMA,0102430,Montgomery County,01036,Lanier Senior High School,010243001036,5,5,010243001036,156
AL,ALABAMA,0102430,Montgomery County,01457,Brewbaker Technology Magnet High School,010243001457,8,8,010243001457,137
AL,ALABAMA,0102430,Montgomery County,02214,Park Crossing High School,010243002214,3,1,010243002214,65
AL,ALABAMA,0102480,Morgan County,01042,Danville High School,010248001042,2,2,010248001042,31
AL,ALABAMA,0102480,Morgan County,01044,Falkville High School,010248001044,2,2,010248001044,49
AL,ALABAMA,0102480,Morgan County,01048,Priceville High School,010248001048,3,3,010248001048,59
AL,ALABAMA,0102480,Morgan County,01052,West Morgan High School,010248001052,1,1,010248001052,22
AL,ALABAMA,0102480,Morgan County,01696,Albert P Brewer High School,010248001696,7,7,010248001696,148
AL,ALABAMA,0102490,Mountain Brook City,01056,Mountain Brook High School,010249001056,18,18,010249001056,328
AL,ALABAMA,0102490,Mountain Brook City,01057,Mountain Brook Junior High School,010249001057,2,2,010249001057,5
AL,ALABAMA,0102520,Muscle Shoals City,01062,Muscle Shoals High School,010252001062,8,8,010252001062,197
AL,ALABAMA,0102550,Oneonta City,01064,Oneonta High School,010255001064,3,3,010255001064,77
