LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,NCESSCH,SCH_MATHCERT_GEOM,SCH_MATHCLASSES_GEOM,Total_Geomty_enroll_students
AZ,ARIZONA,0400805,Choice Academies  Inc.,03444,Jefferson Preparatory High School,040080503444,040080503444,2,2,28
AZ,ARIZONA,0400807,Daisy Education Corporation dba. Sonoran Science Academy Dav,02976,Sonoran Science Academy - Davis Monthan,040080702976,040080702976,1,1,18
AZ,ARIZONA,0400811,Ombudsman Educational Services Ltd. a subsidiary of Educ 2,01583,Ombudsman - Charter East,040081101583,040081101583,2,2,21
AZ,ARIZONA,0400811,Ombudsman Educational Services Ltd. a subsidiary of Educ 2,02855,Ombudsman - Charter East II,040081102855,040081102855,2,2,42
AZ,ARIZONA,0400811,Ombudsman Educational Services Ltd. a subsidiary of Educ 2,02950,Ombudsman - Charter Valencia,040081102950,040081102950,8,8,54
AZ,ARIZONA,0400811,Ombudsman Educational Services Ltd. a subsidiary of Educ 2,99996,Ombudsman - Charter West,040081199996,040081199996,4,4,28
AZ,ARIZONA,0400811,Ombudsman Educational Services Ltd. a subsidiary of Educ 2,99997,Ombudsman - Charter Northwest,040081199997,040081199997,2,2,34
AZ,ARIZONA,0400811,Ombudsman Educational Services Ltd. a subsidiary of Educ 2,99998,Ombudsman - Charter Metro,040081199998,040081199998,4,4,58
AZ,ARIZONA,0400811,Ombudsman Educational Services Ltd. a subsidiary of Educ 2,99999,Ombudsman - Charter Northeast,040081199999,040081199999,2,2,10
AZ,ARIZONA,0400814,CPLC Community Schools dba Envision High School,02554,Envision High School,040081402554,040081402554,0,3,5
AZ,ARIZONA,0400816,Educational Options Foundation,02998,EdOptions Preparatory Academy,040081602998,040081602998,2,2,52
AZ,ARIZONA,0400816,Educational Options Foundation,03219,EdOptions HS Learning Center,040081603219,040081603219,2,2,77
AZ,ARIZONA,0400819,Anthem Preparatory Academy,03187,Great Hearts Academies - Anthem Prep,040081903187,040081903187,0,3,67
AZ,ARIZONA,0400820,Compass Points International  Inc,02672,Northpoint Expeditionary Learning Academy,040082002672,040082002672,2,2,46
AZ,ARIZONA,0400821,Pima Prevention Partnership,03226,Arizona Collegiate High School,040082103226,040082103226,0,8,58
AZ,ARIZONA,0400823,Kaizen Education Foundation dba Mission Heights Preparatory,03296,Mission Heights Preparatory High School,040082303296,040082303296,8,8,92
AZ,ARIZONA,0400827,Ahwatukee Foothills Prep Early College High School  Inc.,03309,Valiant Academy,040082703309,040082703309,4,5,13
AZ,ARIZONA,0400828,Arizona Agribusiness & Equine Center Inc. 4,03199,Arizona Agribusiness & Equine Center - Estrella,040082803199,040082803199,4,4,96
AZ,ARIZONA,0400838,Arizona Agribusiness & Equine Center Inc. 5,03243,Arizona Agribusiness & Equine Center  Inc. - Prescott Valley,040083803243,040083803243,2,2,59
AZ,ARIZONA,0400839,Pima Rose Academy  Inc.,03273,Pima Rose Academy,040083903273,040083903273,4,20,134
AZ,ARIZONA,0400851,Trivium Preparatory Academy,03271,Great Hearts Academies - Trivium Prep,040085103271,040085103271,0,5,110
AZ,ARIZONA,0400858,ASU Preparatory Academy 2,03286,ASU Preparatory Academy- Phoenix High School,040085803286,040085803286,2,5,104
AZ,ARIZONA,0400859,ASU Preparatory Academy 3,03251,ASU Preparatory Academy-Polytechnic High School,040085903251,040085903251,0,3,82
AZ,ARIZONA,0400861,North Phoenix Preparatory Academy,03344,Great Hearts Academies - North Phoenix Prep,040086103344,040086103344,0,4,89
AZ,ARIZONA,0400862,Collaborative Pathways  Inc.,01783,Arizona College Prep Academy,040086201783,040086201783,1,1,33
AZ,ARIZONA,0400872,Institute for Transformative Education  Inc.,03346,Changemaker High School,040087203346,040087203346,0,6,41
AZ,ARIZONA,0400877,Empower College Prep,03522,Empower Collegiate Academy,040087703522,040087703522,2,2,38
AZ,ARIZONA,0400880,Southwest Leadership Academy,03398,Southwest Leadership Academy,040088003398,040088003398,3,3,55
AZ,ARIZONA,0400889,Rising Schools  Inc.,03459,The Rising School,040088903459,040088903459,0,1,15
AZ,ARIZONA,0400900,Cicero Preparatory Academy,03404,Great Hearts Academies - Cicero Prep,040090003404,040090003404,0,3,55
AZ,ARIZONA,0400904,Edkey  Inc. - Sequoia Pathway Academy,03048,Sequoia Pathway Academy,040090403048,040090403048,0,3,99
AZ,ARIZONA,0400909,Madison Highland Prep,03461,Madison Highland Prep,040090903461,040090903461,19,19,195
AZ,ARIZONA,0400910,Ash Fork Joint Unified District,00048,Ash Fork High School,040091000048,040091000048,1,1,21
AZ,ARIZONA,0400911,Heritage Academy Queen Creek  Inc.,03440,Heritage Academy Queen Creek,040091103440,040091103440,4,4,86
AZ,ARIZONA,0400919,Lincoln Preparatory Academy,03472,Great Hearts Academies - Lincoln Prep,040091903472,040091903472,0,2,41
AZ,ARIZONA,0400924,Western School of Science and Technology  Inc.,03436,Western School of Science and Technology,040092403436,040092403436,5,5,123
AZ,ARIZONA,0400926,Heritage Academy Laveen  Inc.,03451,Heritage Academy Laveen,040092603451,040092603451,0,4,82
AZ,ARIZONA,0400946,Phoenix Collegiate Academy High LLC,03375,Phoenix Collegiate Academy High School,040094603375,040094603375,4,4,48
AZ,ARIZONA,0400947,ASU Preparatory Academy - Casa Grande,03526,ASU Preparatory Academy - Casa Grande HS,040094703526,040094703526,2,3,31
AZ,ARIZONA,0400950,Pathways In Education-Arizona  Inc.,03508,Pathways in Education,040095003508,040095003508,1,4,24
AZ,ARIZONA,0400955,Estrella Educational Foundation,03519,Maricopa Institute of Technology,040095503519,040095503519,3,3,27
AZ,ARIZONA,0400965,ASU Preparatory Academy Digital,03556,ASU Preparatory Academy Digital,040096503556,040096503556,1,3,6
AZ,ARIZONA,0400966,Highland Prep,03572,Highland Prep,040096603572,040096603572,3,3,19
AZ,ARIZONA,0400969,Arizona Agribusiness & Equine Center Inc. 6,03543,Arizona Agribusiness & Equine Center  Inc. - Mesa,040096903543,040096903543,1,1,8
AZ,ARIZONA,0400970,AIBT Non-Profit Charter High School  Inc.,03546,RCB College Preparatory Academy,040097003546,040097003546,1,1,2
AZ,ARIZONA,0401000,Bagdad Unified District,00053,Bagdad Middle / Senior High School,040100000053,040100000053,2,2,33
AZ,ARIZONA,0401160,Bicentennial Union High School District,00062,Salome High School,040116000062,040116000062,0,2,37
AZ,ARIZONA,0401180,Bisbee Unified District,00063,Bisbee High School,040118000063,040118000063,5,5,104
AZ,ARIZONA,0401230,Blue Elementary District,00069,Blue Elementary School,040123000069,040123000069,1,1,2
AZ,ARIZONA,0401410,Buckeye Union High School District,00075,Buckeye Union High School,040141000075,040141000075,9,10,330
AZ,ARIZONA,0401410,Buckeye Union High School District,02137,Estrella Foothills High School,040141002137,040141002137,9,9,289
AZ,ARIZONA,0401410,Buckeye Union High School District,02786,Youngker High School,040141002786,040141002786,10,12,334
AZ,ARIZONA,0401460,Sierra Vista Unified District,00081,Buena High School,040146000081,040146000081,20,20,561
AZ,ARIZONA,0401600,Camp Verde Unified District,00087,Camp Verde High School,040160000087,040160000087,3,3,86
AZ,ARIZONA,0401600,Camp Verde Unified District,03053,South Verde Technology Magnet,040160003053,040160003053,0,6,8
AZ,ARIZONA,0401600,Camp Verde Unified District,03173,Camp Verde Accommodation School,040160003173,040160003173,0,1,4
AZ,ARIZONA,0401740,Casa Grande Union High School District,00113,Casa Grande Union High School,040174000113,040174000113,5,17,437
AZ,ARIZONA,0401740,Casa Grande Union High School District,02909,Vista Grande High School,040174002909,040174002909,12,16,397
AZ,ARIZONA,0401760,Catalina Foothills Unified District,00011,Catalina Foothills High School,040176000011,040176000011,13,13,312
AZ,ARIZONA,0401870,Chandler Unified District #80,00123,Chandler High School,040187000123,040187000123,31,31,816
AZ,ARIZONA,0401870,Chandler Unified District #80,01677,Hamilton High School,040187001677,040187001677,32,32,761
AZ,ARIZONA,0401870,Chandler Unified District #80,02250,Basha High School,040187002250,040187002250,19,19,483
AZ,ARIZONA,0401870,Chandler Unified District #80,02806,Perry High School,040187002806,040187002806,35,35,859
AZ,ARIZONA,0401870,Chandler Unified District #80,02822,Arizona College Prep Erie Campus,040187002822,040187002822,6,6,136
AZ,ARIZONA,0401870,Chandler Unified District #80,03306,Chandler Online Academy,040187003306,040187003306,4,4,8
AZ,ARIZONA,0401870,Chandler Unified District #80,03483,Dr. Camille Casteel High School,040187003483,040187003483,19,19,411
AZ,ARIZONA,0401940,Chinle Unified District,00137,Chinle High School,040194000137,040194000137,12,12,293
AZ,ARIZONA,0402320,Coolidge Unified District,00158,Coolidge High School,040232000158,040232000158,4,5,127
