LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,SCH_IBENR_IND,Male_enroll_count,Female_enroll_count,NCESSCH,Total_IB_students,SCH_IBENR_IND_new
AL,ALABAMA,0100002,Alabama Youth Services,01876,Alabama Youth Services,010000201876,No,0,0,010000201876,0,0
AL,ALABAMA,0100005,Albertville City,00871,Albertville High School,010000500871,No,0,0,010000500871,0,0
AL,ALABAMA,0100006,Marshall County,00872,Asbury High School,010000600872,No,0,0,010000600872,0,0
AL,ALABAMA,0100006,Marshall County,00878,Douglas High School,010000600878,No,0,0,010000600878,0,0
AL,ALABAMA,0100006,Marshall County,00883,Kate D Smith DAR High School,010000600883,No,0,0,010000600883,0,0
AL,ALABAMA,0100006,Marshall County,01585,Brindlee Mountain High School,010000601585,No,0,0,010000601585,0,0
AL,ALABAMA,0100007,Hoover City,00251,Hoover High School,010000700251,Yes,45,56,010000700251,101,1
AL,ALABAMA,0100007,Hoover City,01456,Spain Park High School,010000701456,No,0,0,010000701456,0,0
AL,ALABAMA,0100008,Madison City,00831,Bob Jones High School,010000800831,No,0,0,010000800831,0,0
AL,ALABAMA,0100008,Madison City,02198,James Clemens High School,010000802198,No,0,0,010000802198,0,0
AL,ALABAMA,0100009,Al Inst Deaf And Blind,01403,Alabama School For Deaf,010000901403,No,0,0,010000901403,0,0
AL,ALABAMA,0100009,Al Inst Deaf And Blind,01404,Alabama School For Blind,010000901404,No,0,0,010000901404,0,0
AL,ALABAMA,0100009,Al Inst Deaf And Blind,01405,Helen Keller School,010000901405,No,0,0,010000901405,0,0
AL,ALABAMA,0100011,Leeds City,02096,Leeds High School,010001102096,No,0,0,010001102096,0,0
AL,ALABAMA,0100012,Boaz City,00874,Boaz High School,010001200874,No,0,0,010001200874,0,0
AL,ALABAMA,0100013,Trussville City,01682,HewittTrussville High School,010001301682,No,0,0,010001301682,0,0
AL,ALABAMA,0100018,Alabama School of Fine Arts,02104,Alabama School of Fine Arts,010001802104,No,0,0,010001802104,0,0
AL,ALABAMA,0100020,Boyd School,01831,The Boyd School,010002001831,No,0,0,010002001831,0,0
AL,ALABAMA,0100021,Brewer-Porch Childrens Center,01832,Brewer Porch Children's Ctr,010002101832,No,0,0,010002101832,0,0
AL,ALABAMA,0100022,Sequel TSI Courtland,01833,Three Springs Courtland Sch,010002201833,No,0,0,010002201833,0,0
AL,ALABAMA,0100023,Sequel Madison TSI School of Alabama,01834,Sequel Madison TSI,010002301834,No,0,0,010002301834,0,0
AL,ALABAMA,0100024,Sequel TSI- New Beginnings School/ Owens Crossroads,01835,Three Springs New Beginnings,010002401835,No,0,0,010002401835,0,0
AL,ALABAMA,0100026,Sequel TSI Tuskegee,02352,Sequel TSI Tuskegee LLC,010002602352,No,0,0,010002602352,0,0
AL,ALABAMA,0100030,Alexander City,00001,Alexander City Middle School,010003000001,No,0,0,010003000001,0,0
AL,ALABAMA,0100030,Alexander City,00003,Benjamin Russell High School,010003000003,No,0,0,010003000003,0,0
AL,ALABAMA,0100033,Glenwood Mental Health Services,99998,Allan Cott,010003399998,No,0,0,010003399998,0,0
AL,ALABAMA,0100035,Learning Tree Inc,01845,Learning Tree Inc Mobile,010003501845,No,0,0,010003501845,0,0
AL,ALABAMA,0100035,Learning Tree Inc,01846,Learning Tree Inc Webb,010003501846,No,0,0,010003501846,0,0
AL,ALABAMA,0100035,Learning Tree Inc,02105,The Learning Tree-Tallassee,010003502105,No,0,0,010003502105,0,0
AL,ALABAMA,0100036,Lee Co Youth Development Ctr,99999,CHANTICLEER LEARNING CENTER,010003699999,No,0,0,010003699999,0,0
AL,ALABAMA,0100038,Pathway Inc,01849,Pathway Inc,010003801849,No,0,0,010003801849,0,0
AL,ALABAMA,0100039,Presbyterian Home For Children,01850,Hope Academy,010003901850,No,0,0,010003901850,0,0
AL,ALABAMA,0100041,"Developing Alabama Youth Foundation, (DAY) Inc.",01852,Developing Alabama Youth Prog,010004101852,No,0,0,010004101852,0,0
AL,ALABAMA,0100044,The Rushton School,01855,The Rushton School,010004401855,No,0,0,010004401855,0,0
AL,ALABAMA,0100060,Andalusia City,00007,Andalusia High School,010006000007,No,0,0,010006000007,0,0
AL,ALABAMA,0100090,Anniston City,00011,Anniston High School,010009000011,No,0,0,010009000011,0,0
AL,ALABAMA,0100090,Anniston City,00017,Golden Springs Elementary School,010009000017,No,0,0,010009000017,0,0
AL,ALABAMA,0100090,Anniston City,00021,Tenth Street Elementary School,010009000021,No,0,0,010009000021,0,0
AL,ALABAMA,0100100,Arab City,00028,Arab High School,010010000028,No,0,0,010010000028,0,0
AL,ALABAMA,0100120,Athens City,01472,Athens High School,010012001472,No,0,0,010012001472,0,0
AL,ALABAMA,0100120,Athens City,02417,Athens Renaissance School,010012002417,No,0,0,010012002417,0,0
AL,ALABAMA,0100178,Higdon Hill School,02113,Higdon Hill School,010017802113,No,0,0,010017802113,0,0
AL,ALABAMA,0100178,Higdon Hill School,02374,Higdon Hill,010017802374,No,0,0,010017802374,0,0
AL,ALABAMA,0100180,Attalla City,00033,Etowah High School,010018000033,No,0,0,010018000033,0,0
AL,ALABAMA,0100184,Excel Institute,02115,Excel Institute,010018402115,No,0,0,010018402115,0,0
AL,ALABAMA,0100185,Saraland City,02137,Saraland High School,010018502137,No,0,0,010018502137,0,0
AL,ALABAMA,0100188,Chickasaw City,02194,Chickasaw City High School,010018802194,No,0,0,010018802194,0,0
AL,ALABAMA,0100189,Satsuma City,02195,Satsuma High School,010018902195,No,0,0,010018902195,0,0
AL,ALABAMA,0100190,Alabaster City,01183,Thompson High School,010019001183,No,0,0,010019001183,0,0
AL,ALABAMA,0100194,Pelham City,02399,Pelham High School,010019402399,No,0,0,010019402399,0,0
AL,ALABAMA,0100195,Pike Road City,02424,Pike Road Historic School,010019502424,No,0,0,010019502424,0,0
AL,ALABAMA,0100198,Sequel TSI School of Montgomery,02450,Sequel TSI School of Montgomery,010019802450,No,0,0,010019802450,0,0
AL,ALABAMA,0100210,Auburn City,00036,Auburn High School,010021000036,Yes,28,54,010021000036,82,1
AL,ALABAMA,0100210,Auburn City,00037,Auburn Junior High School,010021000037,No,0,0,010021000037,0,0
AL,ALABAMA,0100240,Autauga County,00045,Billingsley High School,010024000045,No,0,0,010024000045,0,0
AL,ALABAMA,0100240,Autauga County,00046,Marbury High School,010024000046,No,0,0,010024000046,0,0
AL,ALABAMA,0100240,Autauga County,00048,Prattville High School,010024000048,No,0,0,010024000048,0,0
AL,ALABAMA,0100240,Autauga County,01408,Autaugaville School,010024001408,No,0,0,010024001408,0,0
AL,ALABAMA,0100270,Baldwin County,00024,Robertsdale High School,010027000024,Yes,0,0,010027000024,0,1
AL,ALABAMA,0100270,Baldwin County,00057,Elberta High School,010027000057,No,0,0,010027000057,0,0
AL,ALABAMA,0100270,Baldwin County,00059,Fairhope Middle School,010027000059,No,0,0,010027000059,0,0
AL,ALABAMA,0100270,Baldwin County,00100,Fairhope High School,010027000100,Yes,17,31,010027000100,48,1
AL,ALABAMA,0100270,Baldwin County,00641,Gulf Shores High School,010027000641,No,0,0,010027000641,0,0
AL,ALABAMA,0100270,Baldwin County,01759,Daphne High School,010027001759,Yes,11,31,010027001759,42,1
AL,ALABAMA,0100270,Baldwin County,01784,Foley High School,010027001784,No,0,0,010027001784,0,0
AL,ALABAMA,0100270,Baldwin County,01810,Baldwin County High School,010027001810,No,0,0,010027001810,0,0
AL,ALABAMA,0100270,Baldwin County,02073,Spanish Fort High School,010027002073,Yes,0,0,010027002073,0,1
AL,ALABAMA,0100270,Baldwin County,02443,Baldwin County Virtual School,010027002443,No,0,0,010027002443,0,0
AL,ALABAMA,0100330,Bessemer City,00087,Bessemer City High School,010033000087,No,0,0,010033000087,0,0
AL,ALABAMA,0100330,Bessemer City,01264,New Horizon Alternative School,010033001264,No,0,0,010033001264,0,0
AL,ALABAMA,0100360,Bibb County,00092,Bibb County High School,010036000092,No,0,0,010036000092,0,0
AL,ALABAMA,0100360,Bibb County,00099,West Blocton High School,010036000099,No,0,0,010036000099,0,0
AL,ALABAMA,0100390,Birmingham City,00141,Huffman High SchoolMagnet,010039000141,No,0,0,010039000141,0,0
AL,ALABAMA,0100390,Birmingham City,00164,JacksonOlin High School,010039000164,No,0,0,010039000164,0,0
AL,ALABAMA,0100390,Birmingham City,00165,Parker High School,010039000165,No,0,0,010039000165,0,0
AL,ALABAMA,0100390,Birmingham City,00176,Ramsay High School,010039000176,Yes,1,10,010039000176,11,1
AL,ALABAMA,0100390,Birmingham City,00192,Wenonah High School,010039000192,No,0,0,010039000192,0,0
AL,ALABAMA,0100390,Birmingham City,00198,Woodlawn High SchoolMagnet,010039000198,No,0,0,010039000198,0,0
AL,ALABAMA,0100390,Birmingham City,01468,George Washington Carver High School,010039001468,No,0,0,010039001468,0,0
AL,ALABAMA,0100420,Blount County,00203,Appalachian  School,010042000203,No,0,0,010042000203,0,0
AL,ALABAMA,0100420,Blount County,00206,Cleveland High School,010042000206,No,0,0,010042000206,0,0
AL,ALABAMA,0100420,Blount County,00208,Hayden High School,010042000208,No,0,0,010042000208,0,0
AL,ALABAMA,0100420,Blount County,00209,JB Pennington High School,010042000209,No,0,0,010042000209,0,0
AL,ALABAMA,0100420,Blount County,00210,Locust Fork High School,010042000210,No,0,0,010042000210,0,0
AL,ALABAMA,0100420,Blount County,00211,Southeastern School,010042000211,No,0,0,010042000211,0,0
AL,ALABAMA,0100420,Blount County,00213,Susan Moore High School,010042000213,No,0,0,010042000213,0,0
AL,ALABAMA,0100450,Brewton City,00216,TR Miller High School,010045000216,No,0,0,010045000216,0,0
AL,ALABAMA,0100480,Bullock County,00218,Bullock County High School,010048000218,No,0,0,010048000218,0,0
AL,ALABAMA,0100510,Butler County,00226,Greenville High School,010051000226,No,0,0,010051000226,0,0
AL,ALABAMA,0100510,Butler County,00229,McKenzie High School,010051000229,No,0,0,010051000229,0,0
AL,ALABAMA,0100510,Butler County,02144,Georgiana School,010051002144,No,0,0,010051002144,0,0
AL,ALABAMA,0100540,Calhoun County,00232,Alexandria High School,010054000232,No,0,0,010054000232,0,0
AL,ALABAMA,0100540,Calhoun County,00240,Ohatchee High School,010054000240,No,0,0,010054000240,0,0
AL,ALABAMA,0100540,Calhoun County,00243,Saks High School,010054000243,No,0,0,010054000243,0,0
AL,ALABAMA,0100540,Calhoun County,00247,Weaver High School,010054000247,No,0,0,010054000247,0,0
AL,ALABAMA,0100540,Calhoun County,00250,White Plains High School,010054000250,No,0,0,010054000250,0,0
AL,ALABAMA,0100540,Calhoun County,01488,Pleasant Valley High School,010054001488,No,0,0,010054001488,0,0
AL,ALABAMA,0100540,Calhoun County,01489,Wellborn High School,010054001489,No,0,0,010054001489,0,0
AL,ALABAMA,0100600,Chambers County,00263,Lafayette High School,010060000263,No,0,0,010060000263,0,0
AL,ALABAMA,0100600,Chambers County,00271,Valley High School,010060000271,No,0,0,010060000271,0,0
AL,ALABAMA,0100630,Cherokee County,00274,Cedar Bluff High School,010063000274,No,0,0,010063000274,0,0
AL,ALABAMA,0100630,Cherokee County,00278,Cherokee County High School,010063000278,No,0,0,010063000278,0,0
AL,ALABAMA,0100630,Cherokee County,00279,Gaylesville High School,010063000279,No,0,0,010063000279,0,0
AL,ALABAMA,0100630,Cherokee County,00282,Sand Rock High School,010063000282,No,0,0,010063000282,0,0
AL,ALABAMA,0100630,Cherokee County,00283,Spring Garden High School,010063000283,No,0,0,010063000283,0,0
AL,ALABAMA,0100630,Cherokee County,00741,Cherokee County Career Technology Center,010063000741,No,0,0,010063000741,0,0
AL,ALABAMA,0100660,Chilton County,00261,Isabella High School,010066000261,No,0,0,010066000261,0,0
AL,ALABAMA,0100660,Chilton County,00262,Jemison High School,010066000262,No,0,0,010066000262,0,0
AL,ALABAMA,0100660,Chilton County,00265,Maplesville High School,010066000265,No,0,0,010066000265,0,0
AL,ALABAMA,0100660,Chilton County,00270,Thorsby High School,010066000270,No,0,0,010066000270,0,0
AL,ALABAMA,0100660,Chilton County,00288,Verbena High School,010066000288,No,0,0,010066000288,0,0
AL,ALABAMA,0100660,Chilton County,01491,Chilton County High School,010066001491,No,0,0,010066001491,0,0
AL,ALABAMA,0100690,Choctaw County Board of Education,00291,Choctaw County High School,010069000291,No,0,0,010069000291,0,0
AL,ALABAMA,0100690,Choctaw County Board of Education,00297,Southern Choctaw High School,010069000297,No,0,0,010069000297,0,0
AL,ALABAMA,0100720,Clarke County,00298,Clarke County High School,010072000298,No,0,0,010072000298,0,0
AL,ALABAMA,0100720,Clarke County,01493,Jackson High School,010072001493,No,0,0,010072001493,0,0
AL,ALABAMA,0100750,Clay County,02210,Central High School of Clay County,010075002210,No,0,0,010075002210,0,0
AL,ALABAMA,0100780,Cleburne County,00318,Cleburne County High School,010078000318,No,0,0,010078000318,0,0
AL,ALABAMA,0100780,Cleburne County,00321,Ranburne High School,010078000321,No,0,0,010078000321,0,0
AL,ALABAMA,0100810,Coffee County,00323,Kinston School,010081000323,No,0,0,010081000323,0,0
AL,ALABAMA,0100810,Coffee County,00327,Zion Chapel High School,010081000327,No,0,0,010081000327,0,0
AL,ALABAMA,0100810,Coffee County,01494,New Brockton High School,010081001494,No,0,0,010081001494,0,0
AL,ALABAMA,0100840,Colbert County,00333,Cherokee High School,010084000333,No,0,0,010084000333,0,0
AL,ALABAMA,0100840,Colbert County,00334,Colbert County High School,010084000334,No,0,0,010084000334,0,0
AL,ALABAMA,0100840,Colbert County,00335,Colbert Heights High School,010084000335,No,0,0,010084000335,0,0
AL,ALABAMA,0100870,Conecuh County,01766,Hillcrest High School,010087001766,No,0,0,010087001766,0,0
AL,ALABAMA,0100900,Coosa County,01749,Central High School,010090001749,No,0,0,010090001749,0,0
AL,ALABAMA,0100930,Covington County,00360,Florala High School,010093000360,No,0,0,010093000360,0,0
AL,ALABAMA,0100930,Covington County,00361,Pleasant Home School,010093000361,No,0,0,010093000361,0,0
AL,ALABAMA,0100930,Covington County,00362,Red Level High School,010093000362,No,0,0,010093000362,0,0
AL,ALABAMA,0100930,Covington County,00363,Straughn High School,010093000363,No,0,0,010093000363,0,0
AL,ALABAMA,0100960,Crenshaw County,00365,Brantley High School,010096000365,No,0,0,010096000365,0,0
AL,ALABAMA,0100960,Crenshaw County,00367,Highland Home School,010096000367,No,0,0,010096000367,0,0
AL,ALABAMA,0100960,Crenshaw County,00368,Luverne High School,010096000368,No,0,0,010096000368,0,0
AL,ALABAMA,0100990,Cullman City,00370,Cullman High School,010099000370,No,0,0,010099000370,0,0
AL,ALABAMA,0101020,Cullman County,00374,Cold Springs High School,010102000374,No,0,0,010102000374,0,0
AL,ALABAMA,0101020,Cullman County,00377,Fairview High School,010102000377,No,0,0,010102000377,0,0
AL,ALABAMA,0101020,Cullman County,00379,Good Hope High School,010102000379,No,0,0,010102000379,0,0
AL,ALABAMA,0101020,Cullman County,00380,Hanceville High School,010102000380,No,0,0,010102000380,0,0
AL,ALABAMA,0101020,Cullman County,00381,Holly Pond High School,010102000381,No,0,0,010102000381,0,0
AL,ALABAMA,0101020,Cullman County,00385,Vinemont High School,010102000385,No,0,0,010102000385,0,0
AL,ALABAMA,0101020,Cullman County,00387,West Point High School,010102000387,No,0,0,010102000387,0,0
AL,ALABAMA,0101020,Cullman County,01497,Cullman Child Development Center,010102001497,No,0,0,010102001497,0,0
AL,ALABAMA,0101050,Dale County,00388,Ariton School,010105000388,No,0,0,010105000388,0,0
AL,ALABAMA,0101050,Dale County,00389,Dale County High School,010105000389,No,0,0,010105000389,0,0
AL,ALABAMA,0101050,Dale County,00390,George W Long High School,010105000390,No,0,0,010105000390,0,0
AL,ALABAMA,0101050,Dale County,02373,Unique Situations,010105002373,No,0,0,010105002373,0,0
AL,ALABAMA,0101050,Dale County,02426,Opportunity Academy,010105002426,No,0,0,010105002426,0,0
AL,ALABAMA,0101080,Daleville City,00394,Daleville High School,010108000394,No,0,0,010108000394,0,0
AL,ALABAMA,0101110,Dallas County,00397,Dallas County High School,010111000397,No,0,0,010111000397,0,0
